Time,cpu,mem,gpu,gpu video,gpu enhance
9/5/2023 18:29:04,3.63%,29.272 GB,100%,0%,0%
9/5/2023 18:29:05,3.63%,29.270 GB,100%,0%,0%
9/5/2023 18:29:05,3.79%,29.269 GB,100%,0%,0%
9/5/2023 18:29:07,3.88%,29.267 GB,100%,0%,0%
9/5/2023 18:29:08,3.79%,29.266 GB,100%,0%,0%
9/5/2023 18:29:09,3.58%,29.264 GB,100%,0%,0%
9/5/2023 18:29:10,4.17%,29.262 GB,100%,0%,0%
9/5/2023 18:29:11,3.96%,29.257 GB,100%,0%,0%
9/5/2023 18:29:11,3.83%,29.256 GB,100%,0%,0%
9/5/2023 18:29:12,4.13%,29.257 GB,100%,0%,0%
9/5/2023 18:29:13,3.79%,29.255 GB,100%,0%,0%
9/5/2023 18:29:15,3.79%,29.255 GB,100%,0%,0%
9/5/2023 18:29:15,3.79%,29.254 GB,100%,0%,0%
9/5/2023 18:29:16,4.21%,29.255 GB,100%,0%,0%
9/5/2023 18:29:17,3.00%,29.255 GB,91.50%,0%,0%
9/5/2023 18:29:18,0.75%,29.526 GB,0%,0%,0%
9/5/2023 18:29:19,1.25%,29.527 GB,0%,0%,0%
9/5/2023 18:29:20,17.70%,29.457 GB,0.91%,0%,0%
9/5/2023 18:29:21,3.84%,29.016 GB,92.30%,0%,0%
9/5/2023 18:29:23,3.75%,29.284 GB,100%,0%,0%
9/5/2023 18:29:23,3.79%,29.281 GB,100%,0%,0%
9/5/2023 18:29:24,3.83%,29.279 GB,100%,0%,0%
9/5/2023 18:29:25,3.79%,29.279 GB,100%,0%,0%
9/5/2023 18:29:27,3.46%,29.278 GB,100%,0%,0%
9/5/2023 18:29:28,3.88%,29.276 GB,100%,0%,0%
9/5/2023 18:29:29,4.17%,29.278 GB,100%,0%,0%
9/5/2023 18:29:30,4.00%,29.274 GB,100%,0%,0%
9/5/2023 18:29:31,4.46%,29.273 GB,100%,0%,0%
9/5/2023 18:29:32,3.92%,29.278 GB,100%,0%,0%
9/5/2023 18:29:33,3.63%,29.275 GB,100%,0%,0%
9/5/2023 18:29:34,3.75%,29.271 GB,100%,0%,0%
9/5/2023 18:29:35,3.67%,29.271 GB,100%,0%,0%
9/5/2023 18:29:36,4.29%,29.269 GB,100%,0%,0%
